path	sha256	owner	purpose	decision
.gitignore	e810b493918d183c42db0c6e02e0044c2f6cf351c92fa7bf66c90864c9bf3f86	project (Phase 0)	project support artifact	keep
AGENTS.md	9c8b12f40c324747922face4025465aee9899b0afd48d9ee31ad3e5f033b3336	project (tracked)	project documentation	keep
PLAN.md	3a8c1ec6f9d96e83ccd84f4598cbbddfeb99a5a073ad0230513a061e8f1840ec	user working tree	project documentation	keep
README_FOR_DEVELOPER.txt	a5bf8b6c369f2a84ba67823a83ef9e11746f07e3d4893a3b5ca3428b29a74af7	project (tracked)	documentation or text record	keep
TODOS.md	8fd814f3bc1ff83bd1a5852cfc1604680d39792fa62fa12adce6b68a008f35e1	project (Phase 0)	project documentation	keep
codebase/ERIC Motion Studio.command	36a612bd2b4a52ff9825eba69a73ee64a8c28d3a0796eca1fe380f1acb856049	user working tree	project support artifact	archive candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/.motion_studio_live_pose 2.json	41043ad09563b511c589fc668a0935d23c4eaf870e873eabf4f3f06b00d569f7	project (tracked)	generated viewer runtime state	archive/remove candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/.motion_studio_live_pose 3.json	78855f98467ddde12d84d6251c688cd63def4d1810c28638bab4ed50414b5da9	project (tracked)	generated viewer runtime state	archive/remove candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/.motion_studio_live_pose 4.json	c8eb9e443c226bba279c800118ab5952c2f4c8e9ab125faec08a2eba784a94c0	project (tracked)	generated viewer runtime state	archive/remove candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/.motion_studio_live_pose 5.json	628df712c3e0ff44477bb250fe2c22cd2d0003558c34c75abfd67bdc7dc114af	project (tracked)	generated viewer runtime state	archive/remove candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/.motion_studio_live_pose.json	cf22a2669056dffbfd6fc8ec8eb0f481faf7bccb6c53646914c19c13a5f43feb	user working tree	generated viewer runtime state	archive/remove candidate; preserved pending owner approval
codebase/ERIC-Gesture-Lab/animations/conversational_talking.json	8fac7234a112a5be7086d58bd590aafe5d6458ec7c4c7991121014b7257eb6b4	project (tracked)	motion, gesture, or runtime data	keep
codebase/ERIC-Gesture-Lab/animations/custom/untitled-eric-motion.json	6da5f9ec998f9b81c3f78ef0718be78b97a7f0ef412cf48185767ec52adfa05c	project (tracked)	motion, gesture, or runtime data	keep
codebase/ERIC-Gesture-Lab/animations/scratch_head.json	13e94fe7f63c566a90808183ea801c4342038c9e208f5739c0a42b3894fd7e99	project (tracked)	motion, gesture, or runtime data	keep
codebase/ERIC-Gesture-Lab/animations/thinking_hand_on_chin.json	cef0acf1e06783690976616c636628f515f9422aa483a5ce2bfc9c5eae7aaefc	project (tracked)	motion, gesture, or runtime data	keep
codebase/ERIC-Gesture-Lab/brainos_exports/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	project (tracked)	project support artifact	keep
codebase/ERIC-Gesture-Lab/command_audit_reports/command_inventory.json	e7dcd9b7dbb82358fb6965850b48dd0f2b7a3601889a852aa34b6ffa5a0c34c2	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/conversational_idle.json	96e9dd42bdb0aaedf64b2749ca308be9fd2ca97b7da493f85d4618c7a620f74a	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/do_a_cartwheel.json	3ed8be9d85d3138930a3d44903f1955267c0ab5c4335e318143db03e6c8f4f30	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/hand_on_chin.json	e8648cabef7053565c0ef690395eb0bc7dc35c0b4ff63e16ccf0f51918208ab9	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/hand_to_temple.json	d7245f78b3cbebe0d612504e45b5ff9046fca558e47971a623825b6d995bd601	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/happy_talking_motion.json	d8f4595a771e8727b511a122140c83b5d5b7a0ca25216d920a3ac5c8a5155244	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/looking_thoughtful.json	14068560b5053aca74e1ae2486e40e3b73a5641858e2146dec48a817885c2fb4	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/lower_left_arm.json	5738ca97835de3ac4c86929a056c2837b64ee70d56f2cb02f60a774e0abada58	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/lower_right_arm.json	1cf021e453a51de5c6038c3fb5cabc43f1e2054c64c5c59693fc5d047f876041	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/natural_talking_motion.json	bb1e304e70fb137109714f0c4361efa3b856de0d05603e135165aaba0729364c	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/neutral.json	a4cee36640abc753291b659fee7288ce5dcc8c3a0169751e154709d5a6ba2343	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/open_both_arms_as_if_introducing_a_speaker_pause_then_relax.json	e06cfbda6ce812eb8e15665311db8c3ad4592549c4e0db6261fe6ef2fdd0b21a	project (tracked)	generated command audit report	keep as regression baseline
codebase/ERIC-Gesture-Lab/command_audit_reports/place_the_left_hand_on_the_chest_while_extending_the_right_arm_outward.json	06c374f5153c812446627f53e87f313b52f6359fb964ad21704b202894c21379	project (tracked)	generated command audit report	keep as regression baseline
